,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,301.4507,271.1209,30.3298,0.8994,301.4507,,0.11186818278220959
cond,254.1756,213.6812,40.4944,0.8407,0.0,1049.7917291890326,0.18950864420978117
ihx,37.061,37.061,-0.0,1.0,9.4069,267.52079221886015,-3.0400260153310017e-14
val,7.5384,7.5384,0.0,1.0,7.5384,,6.438085620175115e-14
eva,,,0.0,,,765.2862926895996,2.722174485825235e-09
tot,284.5054,213.6812,70.8242,0.7511,284.5054,,0.3314481652029337
