,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,263.7594,263.7594,0.0,1.0,263.7594,,0.0
cond,242.9146,242.9146,0.0,1.0,29.2334,1049.7917291888052,2.2464360705771146e-12
ihx,31.2555,19.8546,11.4009,0.6352,0.0,241.54545922299002,0.5742211455941917
val,9.4439,9.4439,-0.0,1.0,9.4439,,-1.287617124035023e-13
eva,,,0.0,,,824.7096252099494,2.722352121509175e-09
tot,225.0821,213.6812,11.4009,0.9493,225.0821,,0.05335475501093194
