,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,23.0587,19.6733,3.3854,0.8532,23.0587,,0.17208352287811912
eva,737.5039,621.2071,116.2968,0.8423,0.0,2958.0282092546736,0.18721096451450545
ihx,47.7694,28.1954,19.574,0.5902,0.0,424.4867473761868,0.6942270052985129
exp,564.5168,516.0341,48.4827,0.9141,516.0341,,0.09395254123453184
cond,,,56.7896,,,2465.0528435016877,6.856063166449999
tot,737.5039,492.9754,244.5285,0.6684,492.9754,,0.49602586781990515
