,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.445,125.911
EXP,-647.202,0.0,0.0,0.0
IHX,0.0,-98.867,0.023,6.59
COND,-0.913,-2353.067,0.0,0.0
PUMP,43.154,0.0,0.0,0.0
SUM,-604.961,-5409.963,0.468,132.501
