,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-106.397,-2851.631,-0.0,-0.0
EXP,-607.838,0.0,0.219,62.062
IHX,-3.989,-282.447,0.0,0.0
COND,-0.039,-2282.627,0.0,0.0
PUMP,42.862,0.0,0.0,0.0
SUM,-675.401,-5416.705,0.219,62.062
