,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,23.6058,20.1386,3.4672,0.8531,23.6058,
eva,737.5039,593.4964,144.0075,0.8047,-0.0,2958.028209254569
ihx,103.6782,66.8526,36.8257,0.6448,0.0,779.8121416456244
exp,519.0774,476.7686,42.3088,0.9185,476.7686,
cond,,,-57.732,,,2504.865444937026
tot,737.5039,453.1628,168.877,0.6145,453.1628,
