,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-141.816,-2816.212,0.0,0.0
EXP,-567.013,0.0,0.0,0.0
IHX,0.0,-125.009,0.025,7.033
COND,0.0,-2299.975,0.187,52.933
PUMP,50.776,0.0,0.026,7.385
SUM,-658.053,-5241.196,0.238,67.352
