,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.364,103.019
EXP,-546.589,0.0,0.195,55.342
IHX,0.0,-200.436,0.033,9.398
COND,0.0,-2457.667,0.199,56.455
PUMP,46.228,0.0,0.0,0.0
SUM,-500.361,-5616.132,0.792,224.214
