,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-125.681,-2832.347,-0.0,-0.0
EXP,-534.804,0.0,0.193,54.579
IHX,-2.129,-227.814,0.0,0.0
COND,0.0,-2340.594,0.188,53.178
PUMP,45.181,0.0,0.0,0.0
SUM,-617.434,-5400.755,0.381,107.757
