,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-157.789,-2800.24,0.0,0.0
EXP,-561.741,0.0,0.211,59.869
IHX,-0.907,-135.833,0.0,0.0
COND,-0.081,-2287.938,0.0,0.0
PUMP,50.428,0.0,0.027,7.504
SUM,-670.09,-5224.011,0.238,67.373
