,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.443,125.546
EXP,-592.895,0.0,0.223,63.189
IHX,-1.03,-148.859,0.0,0.0
COND,-0.042,-2409.302,0.0,0.0
PUMP,45.241,0.0,0.0,0.0
SUM,-548.726,-5516.19,0.667,188.735
