,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.467,132.145
EXP,-580.344,0.0,0.217,61.468
IHX,0.0,-108.853,0.025,6.967
COND,-0.94,-2421.147,0.0,0.0
PUMP,44.402,0.0,0.0,0.0
SUM,-536.882,-5488.028,0.708,200.579
