,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.442,125.123
EXP,-593.394,0.0,0.223,63.242
IHX,-0.958,-143.487,0.0,0.0
COND,-0.086,-2416.859,0.0,0.0
PUMP,53.27,0.0,0.028,7.927
SUM,-541.169,-5518.374,0.693,196.292
