,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.347,98.184
EXP,-558.991,0.0,0.201,57.048
IHX,-2.123,-232.197,0.0,0.0
COND,0.0,-2452.472,0.197,55.734
PUMP,55.558,0.0,0.029,8.08
SUM,-505.556,-5642.697,0.774,219.046
