,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.378,107.134
EXP,-608.526,0.0,0.0,0.0
IHX,-1.114,-167.609,0.0,0.0
COND,0.0,-2402.821,0.193,54.606
PUMP,54.433,0.0,0.028,7.917
SUM,-555.208,-5528.458,0.599,169.656
