,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-130.725,-2827.303,0.0,0.0
EXP,-522.849,0.0,0.187,52.939
IHX,0.0,-186.174,0.031,8.819
COND,0.0,-2356.478,0.192,54.234
PUMP,52.024,0.0,0.027,7.566
SUM,-601.55,-5369.956,0.436,123.558
