,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-133.905,-2824.123,0.0,0.0
EXP,-519.976,0.0,0.186,52.767
IHX,0.0,-183.131,0.031,8.73
COND,0.0,-2348.318,0.191,53.944
PUMP,44.171,0.0,0.0,0.0
SUM,-609.71,-5355.572,0.408,115.44
