,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,21.5765,21.5765,-0.0,1.0,21.5765,
eva,737.5039,737.5039,0.0,1.0,141.6943,2958.028209254544
ihx,27.3913,12.7822,14.6091,0.4667,0.0,306.7687926505658
exp,602.2031,551.4266,50.7766,0.9157,551.4266,
cond,,,0.5738,,,2286.483754462923
tot,737.5039,671.5445,65.9594,0.9106,671.5445,
