,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-171.661,-2786.367,-0.0,-0.0
EXP,-607.165,0.0,0.0,0.0
IHX,-0.297,-77.135,0.0,0.0
COND,-0.038,-2220.564,0.0,0.0
PUMP,41.697,0.0,0.0,0.0
SUM,-737.464,-5084.066,0.0,0.0
