,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-166.146,-2791.882,0.0,0.0
EXP,-547.748,0.0,0.205,58.015
IHX,0.0,-102.739,0.023,6.575
COND,-0.887,-2285.156,0.0,0.0
PUMP,41.908,0.0,0.0,0.0
SUM,-672.872,-5179.777,0.228,64.591
