,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.404,114.458
EXP,-593.013,0.0,0.0,0.0
IHX,0.0,-128.667,0.026,7.323
COND,0.0,-2410.353,0.196,55.369
PUMP,45.338,0.0,0.0,0.0
SUM,-547.676,-5497.048,0.626,177.149
