,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.363,102.669
EXP,-547.023,0.0,0.196,55.386
IHX,0.0,-194.782,0.033,9.227
COND,0.0,-2465.434,0.2,56.741
PUMP,54.429,0.0,0.028,7.916
SUM,-492.594,-5618.244,0.819,231.94
