,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,19.0988,19.0988,0.0,1.0,19.0988,,4.943186613393698e-09
eva,737.5039,737.5039,-0.0,1.0,130.7566,2958.028209254505,-4.483502768416838e-13
ihx,41.2762,41.2762,0.0,1.0,12.3709,423.2697183738127,2.2647683077530165e-12
exp,560.3344,513.0881,47.2463,0.9157,513.0881,,0.09208218880001076
cond,,,53.1408,,,2320.911420521129,6.698892098672033
tot,737.5039,637.1168,100.3871,0.8639,637.1168,,0.15756469207323157
