,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.403,114.107
EXP,-595.996,0.0,0.219,62.054
IHX,0.0,-162.0,0.03,8.453
COND,-1.069,-2412.911,0.0,0.0
PUMP,51.947,0.0,0.027,7.73
SUM,-545.117,-5532.939,0.679,192.344
