,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,20.9934,20.9934,0.0,1.0,20.9934,,2.94809785036548e-12
eva,737.5039,737.5039,-0.0,1.0,131.551,2958.0282092544403,-6.355120746511598e-14
ihx,21.9566,21.9566,-0.0,1.0,7.3278,327.7705965425239,-1.946975699645301e-12
exp,619.5988,567.3555,52.2433,0.9157,567.3555,,0.09208218879853235
cond,,,0.0197,,,2272.787329748519,0.0025804414447705426
tot,737.5039,685.2409,52.263,0.9291,685.2409,,0.07626955924853707
