,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,23.6373,20.165,3.4723,0.8531,23.6373,
eva,737.5039,593.0947,144.4092,0.8042,0.0,2958.0282092542475
ihx,103.2426,66.9455,36.297,0.6484,0.0,780.8706972010663
exp,519.2835,476.9619,42.3216,0.9185,476.9619,
cond,,,-57.6792,,,2504.7036859888362
tot,737.5039,453.3245,168.821,0.6147,453.3245,
