,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.482,136.37
EXP,-645.096,0.0,0.0,0.0
IHX,-0.276,-76.542,0.0,0.0
COND,-0.084,-2364.693,0.0,0.0
PUMP,52.12,0.0,0.027,7.756
SUM,-593.335,-5399.263,0.509,144.127
