,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-122.496,-2835.533,0.0,0.0
EXP,-537.791,0.0,0.193,54.757
IHX,-2.197,-230.936,0.0,0.0
COND,0.0,-2348.753,0.189,53.377
PUMP,53.208,0.0,0.027,7.739
SUM,-609.275,-5415.221,0.409,115.873
