,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,22.5626,22.5626,-0.0,1.0,22.5626,,-3.4774780364883043e-12
eva,737.5039,737.5039,0.0,1.0,141.0183,2958.028209254569,2.730606826248676e-13
ihx,14.1008,4.9224,9.1785,0.3491,-0.0,183.6981057035898,1.8646395677243328
exp,609.2951,609.2951,-0.0,1.0,609.2951,,-9.308924196432963e-15
cond,,,0.5747,,,2230.2774184835703,0.07827402372001302
tot,737.5039,727.7508,9.7531,0.9868,727.7508,,0.013401714869669812
