,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-133.817,-2824.212,0.0,0.0
EXP,-582.615,0.0,0.0,0.0
IHX,-1.25,-173.42,0.0,0.0
COND,0.0,-2284.444,0.183,51.902
PUMP,44.097,0.0,0.0,0.0
SUM,-673.585,-5282.076,0.183,51.902
