,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-119.846,-2838.183,0.0,0.0
EXP,-657.013,0.0,-0.0,-0.0
IHX,-2.265,-210.682,0.0,0.0
COND,-0.038,-2220.564,0.0,0.0
PUMP,41.697,0.0,0.0,0.0
SUM,-737.464,-5269.428,-0.0,-0.0
