,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-142.25,-2815.778,0.0,0.0
EXP,-566.485,0.0,0.0,0.0
IHX,0.0,-130.311,0.025,7.17
COND,0.0,-2292.413,0.186,52.659
PUMP,43.119,0.0,0.0,0.0
SUM,-665.615,-5238.502,0.211,59.83
