,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-176.606,-2781.422,0.0,0.0
EXP,-595.655,0.0,0.0,0.0
IHX,0.0,-48.505,0.018,5.157
COND,-0.864,-2225.721,0.0,0.0
PUMP,40.818,0.0,0.0,0.0
SUM,-732.307,-5055.648,0.018,5.157
