,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-136.147,-2821.881,0.0,0.0
EXP,-580.518,0.0,0.0,0.0
IHX,-1.063,-159.895,0.0,0.0
COND,0.0,-2292.227,0.184,52.092
PUMP,51.928,0.0,0.027,7.552
SUM,-665.801,-5274.003,0.211,59.645
