,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,19.7412,16.8412,2.9001,0.8531,19.7412,,0.17220161486041535
eva,737.5039,588.209,149.2949,0.7976,0.0,2958.0282092546736,0.2538126901245422
ihx,54.6919,32.7481,21.9438,0.5988,-0.0,468.6083577107875,0.6700799169608187
exp,525.9338,494.8917,31.0421,0.941,494.8917,,0.06272493583070728
cond,,,57.1725,,,2482.8777128084453,6.847616118786661
tot,737.5039,475.1505,262.3534,0.6443,475.1505,,0.5521480139038599
