,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.42,119.023
EXP,-661.415,0.0,0.0,0.0
IHX,-0.916,-138.354,0.0,0.0
COND,-0.04,-2339.589,0.0,0.0
PUMP,43.932,0.0,0.0,0.0
SUM,-618.439,-5435.972,0.42,119.023
