,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,25.5102,21.7623,3.7479,0.8531,25.5102,,0.17221890208721105
eva,737.5039,737.5039,-0.0,1.0,136.3166,2958.0282092544207,-1.9519299435715275e-13
ihx,12.308,12.308,0.0,1.0,3.8731,236.21366001963727,2.4166366323300325e-12
exp,619.043,619.043,0.0,1.0,619.043,,4.652813456679381e-15
cond,,,0.0335,,,2224.3056477826244,0.004486380091520914
tot,737.5039,733.7226,3.7813,0.9949,733.7226,,0.005153634481946233
