,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.403,114.096
EXP,-593.476,0.0,0.0,0.0
IHX,0.0,-123.066,0.025,7.181
COND,0.0,-2417.933,0.197,55.648
PUMP,53.38,0.0,0.027,7.764
SUM,-540.095,-5499.027,0.652,184.689
