,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-119.351,-2838.677,-0.0,-0.0
EXP,-657.668,0.0,-0.0,-0.0
IHX,-2.164,-205.86,0.0,0.0
COND,-0.079,-2227.871,0.0,0.0
PUMP,49.104,0.0,0.026,7.307
SUM,-730.157,-5272.408,0.026,7.307
