,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-113.863,-2844.166,0.0,0.0
EXP,-593.563,0.0,0.213,60.284
IHX,0.0,-237.721,0.038,10.866
COND,-1.018,-2299.081,0.0,0.0
PUMP,49.497,0.0,0.026,7.366
SUM,-658.947,-5380.968,0.277,78.516
