,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,-176.094,-2781.934,0.0,0.0
EXP,-596.243,0.0,0.0,0.0
IHX,0.0,-43.572,0.018,5.054
COND,-0.989,-2232.772,0.0,0.0
PUMP,48.069,0.0,0.025,7.153
SUM,-725.257,-5058.277,0.043,12.208
