,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.372,105.286
EXP,-544.631,0.0,0.195,55.269
IHX,0.0,-191.814,0.032,9.144
COND,0.0,-2459.663,0.2,56.501
PUMP,46.265,0.0,0.0,0.0
SUM,-498.365,-5609.505,0.799,226.2
