,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.356,100.818
EXP,-556.475,0.0,0.201,56.924
IHX,-2.057,-229.134,0.0,0.0
COND,0.0,-2446.726,0.196,55.589
PUMP,47.229,0.0,0.0,0.0
SUM,-511.302,-5633.888,0.753,213.331
