,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,17.904,16.5009,1.4031,0.9216,17.904,,0.0850331257484318
eva,737.5039,586.1569,151.347,0.7948,0.0,2958.0282092546736,0.25820216641207866
ihx,59.7341,36.0598,23.6743,0.6037,0.0,499.5755647003327,0.6565291405199949
exp,521.471,477.497,43.9739,0.9157,477.497,,0.09209255853981436
cond,,,57.5125,,,2498.435148992545,6.8419662154478615
tot,737.5039,459.5931,277.9108,0.6232,459.5931,,0.6046889370866705
