,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.506,143.177
EXP,-631.577,0.0,0.0,0.0
IHX,0.0,-38.157,0.018,5.206
COND,-1.053,-2376.564,0.0,0.0
PUMP,51.165,0.0,0.027,7.614
SUM,-581.464,-5372.749,0.551,155.997
