,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
EVA,0.0,-2958.028,0.372,105.213
EXP,-610.221,0.0,0.0,0.0
IHX,-1.309,-181.637,0.0,0.0
COND,0.0,-2392.685,0.192,54.361
PUMP,46.186,0.0,0.0,0.0
SUM,-565.343,-5532.35,0.564,159.574
