k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
comp,,26.76982,90.07469,23.77242,2.99739,3.69376,-0.18803,,,-0.24424,13.6546,13.11522,12.12571,1.52889,11.64672,1.4685,,10.54689
comp,cond,,,,,3.55598,-0.05025,24.64742,0.875,,,,,,,,0.42868,
comp,ihx,,,,,3.77102,-0.26529,24.08605,0.31363,,,,,,,,0.15365,
comp,val,,,,,3.69376,-0.18803,23.77242,0.0,,,,,,,,0.0,
comp,eva,,,,,3.58223,-0.0765,25.82544,2.05301,,,,,,,,1.00582,
cond,,32.37998,84.44526,32.37998,0.0,3.75496,-0.24923,,,-0.0,25.74838,6.6316,25.74838,0.0,6.63161,-0.0,,11.97926
cond,comp,,,,,3.55598,-0.05025,32.37998,-0.0,,,,,,,,0.0,
cond,ihx,,,,,3.8711,-0.36537,32.37998,0.0,,,,,,,,-1e-05,
cond,val,,,,,3.75496,-0.24923,32.37998,0.0,,,,,,,,-0.0,
cond,eva,,,,,3.61355,-0.10782,32.37998,0.0,,,,,,,,-0.0,
ihx,,12.19929,61.93431,10.36975,1.82953,3.91262,-0.40689,,,-3.53139,9.64363,2.55566,9.2787,0.36493,1.09105,1.46461,,3.91173
ihx,comp,,,,,3.77102,-0.26529,9.99488,-0.37487,,,,,,,,-0.3001,
ihx,cond,,,,,3.8711,-0.36537,14.59582,4.22607,,,,,,,,3.38312,
ihx,val,,,,,3.91262,-0.40689,10.36975,-0.0,,,,,,,,-0.0,
ihx,eva,,,,,3.80428,-0.29855,11.87948,1.50973,,,,,,,,1.20859,
val,,9.26652,52.98562,6.27236,2.99416,3.83059,-0.32486,,,-0.81013,9.26652,-0.0,10.12521,-0.85869,-3.85285,3.85285,,-3.94506
val,comp,,,,,3.69376,-0.18803,6.00885,-0.2635,,,,,,,,-0.33907,
val,cond,,,,,3.75496,-0.24923,7.87881,1.60645,,,,,,,,2.06716,
val,ihx,,,,,3.91262,-0.40689,8.4336,2.16124,,,,,,,,2.78106,
val,eva,,,,,3.72686,-0.22113,6.57245,0.3001,,,,,,,,0.38616,
eva,,13.30905,,14.92182,-1.61277,3.72686,-0.22113,,,-0.10465,5.2542,8.05485,5.58562,-0.33142,9.33621,-1.28136,,11.93677
eva,comp,,,,,3.58223,-0.0765,14.34203,-0.5798,,,,,,,,-0.46065,
eva,cond,,,,,3.61355,-0.10782,14.25308,-0.66874,,,,,,,,-0.53132,
eva,ihx,,,,,3.80428,-0.29855,14.7783,-0.14352,,,,,,,,-0.11403,
eva,val,,,,,3.72686,-0.22113,14.80577,-0.11606,,,,,,,,-0.09221,
