Label,Component,ED [kW]
all_real,comp,26.76982
all_real,cond,32.379984
all_real,ihx,12.199286
all_real,val,9.266518
all_real,eva,13.309051
all_real,tot,93.924659
all_ideal,comp,0.0
all_ideal,cond,0.0
all_ideal,ihx,-0.0
all_ideal,val,0.0
all_ideal,eva,0.0
all_ideal,tot,0.0
comp,comp,23.772425
comp,cond,0.0
comp,ihx,-0.0
comp,val,0.0
comp,eva,0.0
comp,tot,23.772425
cond,comp,0.0
cond,cond,32.379984
cond,ihx,-0.0
cond,val,-0.0
cond,eva,0.0
cond,tot,32.379984
ihx,comp,0.0
ihx,cond,0.0
ihx,ihx,10.369753
ihx,val,-0.0
ihx,eva,0.0
ihx,tot,10.369753
val,comp,0.0
val,cond,0.0
val,ihx,-0.0
val,val,6.272355
val,eva,0.0
val,tot,6.272355
eva,comp,0.0
eva,cond,0.0
eva,ihx,0.0
eva,val,-0.0
eva,eva,14.921825
eva,tot,14.921825
comp_cond,comp,24.647421
comp_cond,cond,32.379984
comp_cond,ihx,-0.0
comp_cond,val,0.0
comp_cond,eva,0.0
comp_cond,tot,57.027405
comp_ihx,comp,24.08605
comp_ihx,cond,-0.0
comp_ihx,ihx,9.99488
comp_ihx,val,-0.0
comp_ihx,eva,0.0
comp_ihx,tot,34.080931
comp_val,comp,23.772425
comp_val,cond,0.0
comp_val,ihx,-0.0
comp_val,val,6.008854
comp_val,eva,0.0
comp_val,tot,29.781279
comp_eva,comp,25.825435
comp_eva,cond,0.0
comp_eva,ihx,-0.0
comp_eva,val,-0.0
comp_eva,eva,14.342025
comp_eva,tot,40.167461
cond_ihx,comp,0.0
cond_ihx,cond,32.379984
cond_ihx,ihx,14.59582
cond_ihx,val,0.0
cond_ihx,eva,0.0
cond_ihx,tot,46.975804
cond_val,comp,0.0
cond_val,cond,32.379984
cond_val,ihx,0.0
cond_val,val,7.878809
cond_val,eva,0.0
cond_val,tot,40.258793
cond_eva,comp,0.0
cond_eva,cond,32.379984
cond_eva,ihx,-0.0
cond_eva,val,0.0
cond_eva,eva,14.253084
cond_eva,tot,46.633068
ihx_val,comp,0.0
ihx_val,cond,0.0
ihx_val,ihx,10.369753
ihx_val,val,8.433599
ihx_val,eva,0.0
ihx_val,tot,18.803352
ihx_eva,comp,-0.0
ihx_eva,cond,0.0
ihx_eva,ihx,11.879478
ihx_eva,val,-0.0
ihx_eva,eva,14.778301
ihx_eva,tot,26.657779
val_eva,comp,0.0
val_eva,cond,0.0
val_eva,ihx,0.0
val_eva,val,6.572451
val_eva,eva,14.805765
val_eva,tot,21.378216
comp_unavoid,comp,13.619133
comp_unavoid,cond,30.888806
comp_unavoid,ihx,12.493466
comp_unavoid,val,9.510985
comp_unavoid,eva,13.630549
comp_unavoid,tot,80.142939
cond_unavoid,comp,26.283089
cond_unavoid,cond,25.74838
cond_unavoid,ihx,11.494656
cond_unavoid,val,8.679853
cond_unavoid,eva,13.471953
cond_unavoid,tot,85.67793
ihx_unavoid,comp,26.385445
ihx_unavoid,cond,33.297503
ihx_unavoid,ihx,10.578815
ihx_unavoid,val,8.207564
ihx_unavoid,eva,13.30594
ihx_unavoid,tot,91.775267
val_unavoid,comp,26.76982
val_unavoid,cond,32.379984
val_unavoid,ihx,12.199286
val_unavoid,val,9.266518
val_unavoid,eva,13.309051
val_unavoid,tot,93.924659
eva_unavoid,comp,25.882821
eva_unavoid,cond,31.083993
eva_unavoid,ihx,11.356088
eva_unavoid,val,8.974088
eva_unavoid,eva,5.363673
eva_unavoid,tot,82.660663
