,E_F,E_P,E_D,epsilon,group,y_Dk,y*_Dk
Internal Heat Exchanger,17959.8619,8983.76618,8976.09572,0.50021,Internal Heat Exchanger,0.01217,0.03837
Condenser,69775.41411,12979.94681,56795.46729,0.18602,Condenser,0.07701,0.24278
Evaporator,739976.05113,635043.33899,104932.71214,0.85819,Evaporator,0.14228,0.44855
Expander,600370.21661,545058.07865,55312.13795,0.90787,Expander,0.075,0.23644
Pump,54473.23265,46550.5401,7922.69254,0.85456,Pump,0.01074,0.03387
