,E_F,E_P,E_D,epsilon,group,y_Dk,y*_Dk
Internal Heat Exchanger,42150.93498,33053.07663,9097.85835,0.78416,Internal Heat Exchanger,0.02193,0.14985
Valve,10679.91421,0.35915,10679.55506,3e-05,Valve,0.02574,0.1759
Condenser,395160.2523,354222.77413,40937.47817,0.8964,Condenser,0.09866,0.67426
Compressor,414938.02427,414938.02485,-0.00058,1.0,Compressor,-0.0,-0.0
Evaporator,0.35915,0.1792,0.17996,0.49894,Evaporator,0.0,0.0
