,E_F,E_P,E_D,epsilon,group,y_Dk,y*_Dk
Evaporator,63502.60367,9967.26521,53535.33846,0.15696,Evaporator,0.04958,0.15638
Compressor,1089821.95326,984428.44112,105393.51214,0.90329,Compressor,0.0976,0.30785
Internal Heat Exchanger,101612.66545,63704.3078,37908.35765,0.62693,Internal Heat Exchanger,0.03511,0.11073
Valve,85522.16931,55802.34656,29719.82275,0.65249,Valve,0.02752,0.08681
Condenser,853297.65705,737503.89929,115793.75776,0.8643,Condenser,0.10723,0.33823
