,E_F,E_P,E_D,epsilon,group,y_Dk,y*_Dk
Internal Heat Exchanger,49205.01504,38624.8263,10580.18874,0.78498,Internal Heat Exchanger,0.02473,0.14366
Condenser,405818.40285,354222.77413,51595.62872,0.87286,Condenser,0.12059,0.70057
Evaporator,0.35454,0.17689,0.17765,0.49894,Evaporator,0.0,0.0
Valve,11472.57987,0.35454,11472.22533,3e-05,Valve,0.02681,0.15577
Compressor,427871.17165,427871.17146,0.0002,1.0,Compressor,0.0,0.0
