k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
pump,,1.62239,85.30741,1.7634,-0.14101,4.39526,0.49109,,,-0.03844,0.48522,1.13717,0.52739,-0.04217,1.23601,-0.09884,,1.1988
pump,eva,,,,,4.67033,0.21602,1.63692,-0.12648,,,,,,,,-0.08865,
pump,ihx,,,,,4.33763,0.54872,1.78744,0.02404,,,,,,,,0.01685,
pump,exp,,,,,4.4888,0.39755,1.77323,0.00983,,,,,,,,0.00689,
pump,cond,,,,,4.59609,0.29026,1.75344,-0.00996,,,,,,,,-0.00698,
eva,,75.19118,79.64358,81.67069,-6.47951,4.6687,0.21765,,,0.26664,60.51039,14.68079,59.17761,1.33278,22.49307,-7.81228,,23.33708
eva,pump,,,,,4.67033,0.21602,81.60847,-0.06222,,,,,,,,-0.07502,
eva,ihx,,,,,4.6162,0.27015,83.78764,2.11695,,,,,,,,2.55239,
eva,exp,,,,,4.75128,0.13507,78.79259,-2.8781,,,,,,,,-3.47009,
eva,cond,,,,,4.86181,0.02454,75.7479,-5.92279,,,,,,,,-7.14105,
ihx,,5.31804,44.89239,2.55282,2.76522,4.33566,0.55069,,,0.50337,3.02294,2.2951,-0.06392,3.08686,2.61674,-0.32164,,5.08646
ihx,pump,,,,,4.33763,0.54872,2.53148,-0.02135,,,,,,,,0.00248,
ihx,eva,,,,,4.6162,0.27015,3.25967,0.70685,,,,,,,,-0.08222,
ihx,exp,,,,,4.42877,0.45758,3.38533,0.8325,,,,,,,,-0.09683,
ihx,cond,,,,,4.53193,0.35442,3.29667,0.74384,,,,,,,,-0.08652,
exp,,24.3454,90.80731,27.86541,-3.52001,4.48677,0.39958,,,-0.41826,11.59255,12.75285,13.26867,-1.67612,14.59674,-1.84389,,11.45325
exp,pump,,,,,4.4888,0.39755,27.87616,0.01075,,,,,,,,0.00563,
exp,eva,,,,,4.75128,0.13507,27.45782,-0.40759,,,,,,,,-0.21351,
exp,ihx,,,,,4.42877,0.45758,27.34495,-0.52047,,,,,,,,-0.27264,
exp,cond,,,,,4.68431,0.20204,25.68097,-2.18444,,,,,,,,-1.14428,
cond,,33.44961,,30.76443,2.68518,4.59413,0.29222,,,0.01625,13.81523,19.63438,12.98904,0.8262,17.77539,1.85898,,9.39657
cond,pump,,,,,4.59609,0.29026,30.80732,0.04289,,,,,,,,0.02969,
cond,eva,,,,,4.86181,0.02454,32.53875,1.77432,,,,,,,,1.22838,
cond,ihx,,,,,4.53193,0.35442,31.01448,0.25004,,,,,,,,0.17311,
cond,exp,,,,,4.68431,0.20204,31.36611,0.60168,,,,,,,,0.41655,
