Label,Component,ED [kW]
all_real,pump,1.622392
all_real,eva,75.191178
all_real,ihx,5.318043
all_real,exp,24.345401
all_real,cond,33.449611
all_real,tot,139.926625
all_ideal,pump,0.0
all_ideal,eva,-0.0
all_ideal,ihx,-0.0
all_ideal,exp,0.0
all_ideal,cond,0.034035
all_ideal,tot,0.034035
pump,pump,1.763402
pump,eva,-0.0
pump,ihx,-0.0
pump,exp,0.0
pump,cond,0.042635
pump,tot,1.806037
eva,pump,0.0
eva,eva,81.670686
eva,ihx,-0.0
eva,exp,0.0
eva,cond,0.031899
eva,tot,81.702585
ihx,pump,0.0
ihx,eva,0.0
ihx,ihx,2.552823
ihx,exp,0.0
ihx,cond,0.310422
ihx,tot,2.863245
exp,pump,-0.0
exp,eva,-0.0
exp,ihx,0.0
exp,exp,27.865413
exp,cond,0.034247
exp,tot,27.89966
cond,pump,0.0
cond,eva,0.0
cond,ihx,0.0
cond,exp,0.0
cond,cond,30.764431
cond,tot,30.764431
pump_eva,pump,1.636923
pump_eva,eva,81.608465
pump_eva,ihx,-0.0
pump_eva,exp,0.0
pump_eva,cond,0.039356
pump_eva,tot,83.284745
pump_ihx,pump,1.787444
pump_ihx,eva,-0.0
pump_ihx,ihx,2.531476
pump_ihx,exp,0.0
pump_ihx,cond,0.335764
pump_ihx,tot,4.654684
pump_exp,pump,1.773233
pump_exp,eva,0.0
pump_exp,ihx,0.0
pump_exp,exp,27.876162
pump_exp,cond,0.042826
pump_exp,tot,29.692221
pump_cond,pump,1.753442
pump_cond,eva,0.0
pump_cond,ihx,-0.0
pump_cond,exp,0.0
pump_cond,cond,30.807313
pump_cond,tot,32.560755
eva_ihx,pump,0.0
eva_ihx,eva,83.787641
eva_ihx,ihx,3.259672
eva_ihx,exp,0.0
eva_ihx,cond,0.317496
eva_ihx,tot,87.364808
eva_exp,pump,-0.0
eva_exp,eva,78.792589
eva_exp,ihx,-0.0
eva_exp,exp,27.457819
eva_exp,cond,0.031905
eva_exp,tot,106.282314
eva_cond,pump,0.0
eva_cond,eva,75.747898
eva_cond,ihx,-0.0
eva_cond,exp,-0.0
eva_cond,cond,32.538748
eva_cond,tot,108.286646
ihx_exp,pump,-0.0
ihx_exp,eva,-0.0
ihx_exp,ihx,3.385327
ihx_exp,exp,27.344946
ihx_exp,cond,0.315573
ihx_exp,tot,31.045847
ihx_cond,pump,0.0
ihx_cond,eva,-0.0
ihx_cond,ihx,3.296666
ihx_cond,exp,-0.0
ihx_cond,cond,31.014475
ihx_cond,tot,34.311141
exp_cond,pump,0.0
exp_cond,eva,0.0
exp_cond,ihx,-0.0
exp_cond,exp,25.680973
exp_cond,cond,31.366108
exp_cond,tot,57.047081
pump_unavoid,pump,0.799608
pump_unavoid,eva,75.209133
pump_unavoid,ihx,5.335737
pump_unavoid,exp,24.343712
pump_unavoid,cond,33.422668
pump_unavoid,tot,139.110859
eva_unavoid,pump,1.787864
eva_unavoid,eva,63.014928
eva_unavoid,ihx,4.639985
eva_unavoid,exp,25.902292
eva_unavoid,cond,33.196999
eva_unavoid,tot,128.542068
ihx_unavoid,pump,1.607895
ihx_unavoid,eva,74.154683
ihx_unavoid,ihx,4.014537
ihx_unavoid,exp,24.545048
ihx_unavoid,cond,33.226901
ihx_unavoid,tot,137.549064
exp_unavoid,pump,1.624286
exp_unavoid,eva,75.747821
exp_unavoid,ihx,4.970292
exp_unavoid,exp,17.043989
exp_unavoid,cond,33.283051
exp_unavoid,tot,132.669438
cond_unavoid,pump,1.67095
cond_unavoid,eva,78.118506
cond_unavoid,ihx,4.660799
cond_unavoid,exp,26.480161
cond_unavoid,cond,13.49523
cond_unavoid,tot,124.425646
