,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,16.7945,16.7945,-0.0,1.0,16.7945,,-1.6522225466658899e-12
eva,737.5039,590.1225,147.3814,0.8002,0.0,2958.0282092543844,0.24974708374305826
ihx,42.5885,42.5885,0.0,1.0,12.8589,440.2653143300322,1.0143490534094711e-12
exp,538.5726,538.5726,-0.0,1.0,538.5726,,-5.944843509517982e-15
cond,,,55.4856,,,2423.3912509685683,6.694270859251013
tot,737.5039,534.637,202.8669,0.7249,534.637,,0.37944803092128343
