,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,24.7669,21.1282,3.6387,0.8531,24.7669,,0.17221880353083785
eva,737.5039,737.5039,0.0,1.0,132.071,2958.0282092545126,7.053485663710848e-14
ihx,21.3109,21.3109,0.0,1.0,7.7239,310.8343538723372,1.6313525668286377e-13
exp,618.7475,566.5751,52.1724,0.9157,566.5751,,0.09208376838829578
cond,,,0.0898,,,2276.4251364377587,0.011807185394609121
tot,737.5039,681.6031,55.9008,0.9242,681.6031,,0.08201375371920139
