,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,25.51,21.7621,3.7479,0.8531,25.51,,0.17221880283449248
eva,737.5039,737.5039,-0.0,1.0,136.3173,2958.028209254437,-2.060176505736563e-13
ihx,12.3084,12.3084,0.0,1.0,3.8733,236.21775737838922,8.69857044050908e-12
exp,619.042,619.042,0.0,1.0,619.042,,1.0282734410607245e-12
cond,,,0.0335,,,2224.305616206201,0.004486826640345498
tot,737.5039,733.7226,3.7813,0.9949,733.7226,,0.005153591224611198
