,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,19.7413,16.8412,2.9001,0.8531,19.7413,,0.1722016077993611
eva,737.5039,588.2091,149.2948,0.7976,0.0,2958.028209254544,0.2538125607877555
ihx,54.6919,32.748,21.9438,0.5988,0.0,468.60813250968073,0.6700800432466765
exp,525.9339,494.8918,31.0421,0.941,494.8918,,0.06272493966527126
cond,,,57.1725,,,2482.8776428548927,6.847615742185354
tot,737.5039,475.1506,262.3533,0.6443,475.1506,,0.5521477853920821
