,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,18.5587,15.8316,2.7271,0.8531,18.5587,,0.17225384302597133
eva,737.5039,581.4912,156.0127,0.7885,0.0,2958.028209254569,0.26829751948671987
ihx,63.4224,42.7399,20.6825,0.6739,0.0,554.8742980677928,0.48391632512027166
exp,519.3519,475.7718,43.5801,0.9161,475.7718,,0.09159884638105806
cond,,,57.2884,,,2500.815115440017,6.728234095213878
tot,737.5039,457.2131,280.2908,0.6199,457.2131,,0.6130419477098896
