,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,949.2358,949.2358,0.0,1.0,949.2358,,9.034697009114981e-16
cond,852.1222,737.5039,114.6183,0.8655,-0.0,2958.028209254549,0.1554137729422749
ihx,105.5402,105.5402,0.0,1.0,27.7133,834.0901181887641,0.0
val,22.8202,22.8202,0.0,1.0,22.8202,,3.219042810087558e-13
eva,,,46.5802,,,2059.3258895763984,3.4967935027994486
tot,898.7023,737.5039,161.1984,0.8206,898.7023,,0.21857297358246153
