,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,992.144,895.6789,96.4651,0.9028,992.144,,0.10770058206901856
cond,852.1222,737.5039,114.6183,0.8655,0.0,2958.028209254569,0.15541377294240075
ihx,99.104,99.104,-0.0,1.0,22.4283,752.0754789471777,-6.886072476067838e-14
val,21.1284,21.1284,0.0,1.0,21.1284,,0.0
eva,,,0.0,,,2009.4409121845915,3.369819978615851e-10
tot,948.5873,737.5039,211.0834,0.7775,948.5873,,0.286213263260857
