label,cop
optimal_all_real,3.2007010668131146
optimal_comp_ihx,4.127136691080597
optimal_ihx_eva,4.277087149895809
optimal_comp_val,4.203980176308495
optimal_val,4.755755474086284
optimal_all_ideal,4.912887742266807
optimal_comp,4.3208127800757286
optimal_eva,4.516913000940285
optimal_val_eva,4.3799784170968845
optimal_ihx,4.6640390801012925
optimal_comp_eva,3.9838298003928063
optimal_ihx_val,4.476228345705569
optimal_comp_unavoid,3.3733496544538033
optimal_cond_unavoid,3.301812674603862
optimal_val_unavoid,3.2007010668131146
optimal_ihx_unavoid,3.2265077175624457
optimal_eva_unavoid,3.341713614463066
optimal_comp_cond,3.6898828440880234
optimal_cond_eva,3.8585621843420648
optimal_cond_val,3.993255629662345
optimal_cond_ihx,3.889190115743144
optimal_cond,4.130182463363644
optimal_all_real,3.2007010668131146
optimal_comp_ihx,4.127136691080597
optimal_ihx_eva,4.277087149895809
optimal_comp_val,4.203980176308495
optimal_val_eva,4.3799784170968845
optimal_comp,4.3208127800757286
optimal_eva,4.516913000940285
optimal_all_ideal,4.912887742266807
optimal_comp_eva,3.9838298003928063
optimal_val,4.755755474086284
optimal_ihx,4.6640390801012925
optimal_ihx_val,4.476228345705569
optimal_comp_unavoid,3.3733496544538033
optimal_cond_unavoid,3.301812674603862
optimal_ihx_unavoid,3.2265077175624457
optimal_val_unavoid,3.2007010668131146
optimal_eva_unavoid,3.341713614463066
optimal_comp_cond,3.6898828440880234
optimal_cond_eva,3.8585621843420648
optimal_cond_ihx,3.889190115743144
optimal_cond_val,3.993255629662345
optimal_cond,4.130182463363644
optimal_all_real,3.2007010668131146
optimal_comp_ihx,4.127136691080597
optimal_ihx_eva,4.277087149895809
optimal_comp_val,4.203980176308495
optimal_all_ideal,4.912887742266807
optimal_comp,4.3208127800757286
optimal_val_eva,4.3799784170968845
optimal_val,4.755755474086284
optimal_eva,4.516913000940285
optimal_comp_eva,3.9838298003928063
optimal_ihx_val,4.476228345705569
optimal_ihx,4.6640390801012925
optimal_comp_unavoid,3.44723652627532
optimal_cond_unavoid,3.301812674603862
optimal_ihx_unavoid,3.2265077175624457
optimal_val_unavoid,3.2007010668131146
optimal_eva_unavoid,3.341713614463066
optimal_comp_cond,3.6898828440880234
optimal_cond_eva,3.8585621843420648
optimal_cond_val,3.993255629662345
optimal_cond_ihx,3.889190115743144
optimal_cond,4.130182463363644
optimal_all_real,3.2007010668131146
optimal_ihx_eva,4.277087149895809
optimal_comp_ihx,4.127136691080597
optimal_val_eva,4.3799784170968845
optimal_val,4.755755474086284
optimal_comp,4.3208127800757286
optimal_all_ideal,4.912887742266807
optimal_comp_eva,3.9838298003928063
optimal_eva,4.516913000940285
optimal_ihx_val,4.476228345705569
optimal_ihx,4.6640390801012925
optimal_comp_unavoid,3.44723652627532
optimal_cond_unavoid,3.301812674603862
optimal_ihx_unavoid,3.2265077175624457
optimal_eva_unavoid,3.341713614463066
optimal_comp_cond,3.6898828440880234
optimal_cond_eva,3.8585621843420648
optimal_cond_ihx,3.889190115743144
optimal_cond_val,3.993255629662345
optimal_cond,4.130182463363644
optimal_all_real,3.2007010668131146
optimal_comp_ihx,4.127136691080597
optimal_ihx_eva,4.277087149895809
optimal_comp_val,4.203980176308495
optimal_all_ideal,4.912887742266807
optimal_val,4.755755474086284
optimal_val_eva,4.3799784170968845
optimal_eva,4.516913000940285
optimal_comp_eva,3.9838298003928063
optimal_comp,4.3208127800757286
optimal_ihx_val,4.476228345705569
optimal_ihx,4.6640390801012925
optimal_comp_unavoid,3.44723652627532
optimal_cond_unavoid,3.301812674603862
optimal_ihx_unavoid,3.2265077175624457
optimal_eva_unavoid,3.341713614463066
optimal_val_unavoid,3.2007010668131146
optimal_comp_cond,3.6898828440880234
optimal_cond_eva,3.8585621843420648
optimal_cond_ihx,3.889190115743144
optimal_cond_val,3.993255629662345
optimal_cond,4.130182463363644
