,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,6.7,3.797,5.0
7.5,6.194,3.903,5.0
7.0,5.688,4.009,5.0
6.5,5.182,4.117,5.0
6.0,4.676,4.225,5.0
