,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,6.686,4.796,5.0
7.5,6.18,4.896,5.0
7.0,5.674,4.997,5.0
6.5,5.168,5.099,5.0
6.0,4.662,5.202,5.0
